device,micros,ax,ay,az,gx,gy,gz
0,0,320,16524,-6180,-464,-246,-104
1,565,44,16912,-2744,398,-10,-23
2,1130,-968,15628,-2776,-156,119,56
3,1212,-968,15628,-2776,-156,119,56
0,4000,796,16312,-6144,-477,-222,-87
1,4569,596,16772,-3504,409,32,-2
2,5134,-404,15724,-3100,-46,189,80
3,5216,-404,15724,-3100,-46,189,80
0,8000,996,16016,-6112,-547,-159,-107
1,8566,868,16448,-3800,301,73,-6
2,9131,-104,15292,-2780,-155,211,70
3,9213,-104,15292,-2780,-155,211,70
0,12000,1236,16268,-6044,-644,-194,-84
1,12565,992,16632,-3476,247,77,-17
2,13130,28,15648,-2924,-261,193,78
3,13215,28,15648,-2924,-261,193,78
0,16000,1536,15896,-5696,-712,-180,-78
1,16564,1292,16264,-3104,167,3,21
2,17129,256,15100,-2920,-410,235,67
3,17214,256,15100,-2920,-410,235,67
0,20000,1576,15580,-5432,-795,-187,-63
1,20565,1496,15868,-2856,104,0,10
2,21130,476,15332,-3316,-543,116,55
3,21212,476,15332,-3316,-543,116,55
0,24000,1640,15272,-5296,-853,-279,-88
1,24565,1584,15476,-2664,16,-54,-6
2,25130,556,14916,-3088,-635,124,21
3,25212,556,14916,-3088,-635,124,21
0,28000,1636,14964,-4964,-875,-303,-109
1,28569,1324,15076,-2348,1,-125,-8
2,29134,452,14440,-2412,-779,83,22
3,29216,452,14440,-2412,-779,83,22
0,32000,1580,14632,-4808,-868,-290,-89
1,32566,1372,14876,-2084,-7,-131,-12
2,33131,424,14576,-2128,-817,63,0
3,33213,424,14576,-2128,-817,63,0
0,36000,1604,14756,-5012,-853,-320,-137
1,36564,1688,14936,-2156,7,-156,-59
2,37129,400,14928,-2192,-753,58,-33
3,37212,400,14928,-2192,-753,58,-33
0,40000,1736,15256,-5064,-848,-346,-158
1,40565,1516,15448,-2280,25,-125,-58
2,41129,300,15380,-1932,-706,72,-34
3,41215,300,15380,-1932,-706,72,-34
0,44000,1720,16016,-5196,-840,-288,-125
1,44565,1448,16140,-2212,23,-97,-62
2,45130,356,15564,-2080,-582,84,13
3,45215,356,15564,-2080,-582,84,13
0,47999,1696,16196,-5212,-759,-273,-144
1,48564,1436,16460,-2232,109,-40,-78
2,49129,168,15768,-1972,-420,130,-13
3,49215,168,15768,-1972,-420,130,-13
0,52000,1596,15952,-5144,-705,-254,-132
1,52568,1428,16292,-2052,192,-30,-79
2,53137,132,16248,-2024,-356,133,-2
3,53219,132,16248,-2024,-356,133,-2
0,55999,1296,15916,-5496,-653,-253,-169
1,56568,1052,16120,-2504,234,-1,-123
2,57136,-116,15580,-2700,-158,163,-3
3,57218,-116,15580,-2700,-158,163,-3
0,60000,840,16044,-5720,-615,-247,-169
1,60565,416,16444,-2668,285,-35,-78
2,61134,-720,15652,-1916,-223,150,-24
3,61216,-720,15652,-1916,-223,150,-24
0,64000,652,15896,-5844,-553,-203,-187
1,64565,488,16236,-2848,352,64,-103
2,65134,-572,15716,-3584,-92,115,7
3,65216,-572,15716,-3584,-92,115,7
0,68000,516,15972,-5984,-523,-277,-167
1,68565,180,16356,-2964,386,-17,-75
2,69133,-920,15336,-2776,-95,162,-28
3,69216,-920,15336,-2776,-95,162,-28
0,72000,480,15932,-5880,-473,-201,-146
1,72565,188,16328,-3092,418,-7,-73
2,73134,-984,14948,-3416,-153,131,25
3,73216,-984,14948,-3416,-153,131,25
0,76000,528,16160,-6172,-486,-226,-136
1,76565,316,16508,-3452,366,-7,-27
2,77133,-588,15212,-3044,-230,123,31
3,77216,-588,15212,-3044,-230,123,31
0,80000,656,16336,-6028,-550,-243,-77
1,80565,376,16728,-3440,314,-64,-22
2,81133,-452,15044,-3188,-303,171,67
3,81216,-452,15044,-3188,-303,171,67
0,84000,916,16156,-5984,-628,-207,-70
1,84565,764,16540,-3580,226,-20,27
2,85134,-296,15184,-2792,-451,115,90
3,85216,-296,15184,-2792,-451,115,90
0,88000,1136,16188,-6076,-724,-260,-30
1,88565,992,16604,-3724,125,-69,54
2,89134,100,15308,-3084,-573,130,106
3,89216,100,15308,-3084,-573,130,106
0,92000,1476,16008,-6024,-876,-240,-34
1,92565,1252,16372,-3596,6,-87,56
2,93134,244,15000,-2660,-666,138,118
3,93216,244,15000,-2660,-666,138,118
0,96000,1524,15604,-5424,-985,-194,-38
1,96564,1356,15816,-3040,-105,-25,104
2,97133,416,14872,-2488,-774,135,96
3,97215,416,14872,-2488,-774,135,96
0,100000,1528,15160,-5044,-993,-296,-44
1,100568,1512,15368,-2252,-117,-98,43
2,101137,480,15116,-2980,-821,110,82
3,101219,480,15116,-2980,-821,110,82
0,104000,1536,14928,-4924,-976,-263,-56
1,104565,1500,15104,-2124,-94,-90,45
2,105132,440,15008,-2216,-838,109,67
3,105214,440,15008,-2216,-838,109,67
