device,micros,ax,ay,az,gx,gy,gz
0,0,14740,-2380,-2596,-1722,2345,-841
1,565,14708,-2316,-2404,-1051,2584,-442
2,1130,14384,-384,1164,-1760,2599,-674
3,1212,14384,-384,1164,-1760,2599,-674
0,3999,14720,-2400,-2484,-1682,2424,-896
1,4564,14684,-2496,-2416,-973,2651,-496
2,5129,14088,-556,1336,-1712,2662,-729
3,5212,14088,-556,1336,-1712,2662,-729
0,7998,14568,-2572,-2760,-1602,2499,-965
1,8563,14620,-2412,-2480,-959,2687,-555
2,9128,14108,-488,1224,-1656,2731,-823
3,9210,14108,-488,1224,-1656,2731,-823
0,11999,14424,-2512,-2664,-1562,2526,-1052
1,12564,14576,-2552,-2320,-869,2781,-618
2,13129,14084,-540,1188,-1640,2832,-877
3,13212,14084,-540,1188,-1640,2832,-877
0,15998,14512,-2644,-2496,-1496,2616,-1117
1,16563,14424,-2476,-2268,-827,2852,-715
2,17128,14004,-532,1076,-1580,2887,-955
3,17210,14004,-532,1076,-1580,2887,-955
0,19999,14320,-2632,-2436,-1419,2679,-1161
1,20564,14444,-2520,-2092,-748,2894,-740
2,21129,14012,-604,1012,-1496,2937,-1002
3,21212,14012,-604,1012,-1496,2937,-1002
0,23998,14284,-2472,-2648,-1322,2716,-1233
1,24563,14360,-2504,-2184,-635,2994,-810
2,25128,14048,-580,804,-1405,2983,-1068
3,25210,14048,-580,804,-1405,2983,-1068
0,27998,14372,-2652,-2736,-1193,2800,-1309
1,28563,14432,-2512,-2148,-493,3036,-889
2,29128,14048,-676,952,-1296,3056,-1123
3,29210,14048,-676,952,-1296,3056,-1123
0,31999,14372,-2576,-2776,-1070,2821,-1338
1,32564,14456,-2376,-2280,-407,3098,-935
2,33129,14144,-640,1000,-1140,3155,-1182
3,33211,14144,-640,1000,-1140,3155,-1182
0,36000,14108,-2332,-2120,-1026,2859,-1395
1,36565,14376,-2356,-1672,-365,3132,-998
2,37130,14116,-716,828,-1026,3210,-1214
3,37212,14116,-716,828,-1026,3210,-1214
0,40000,14260,-2324,-1764,-951,2900,-1436
1,40565,14360,-2292,-1236,-300,3164,-1034
2,41130,14048,-748,876,-982,3150,-1264
3,41212,14048,-748,876,-982,3150,-1264
0,43999,14220,-2276,-1564,-930,2894,-1503
1,44564,14636,-2348,-1316,-288,3165,-1080
2,45129,14352,-836,1072,-1017,3174,-1310
3,45212,14352,-836,1072,-1017,3174,-1310
0,47998,14480,-2280,-1464,-899,2904,-1555
1,48563,14672,-2536,-1336,-257,3184,-1118
2,49128,14524,-812,1148,-1055,3201,-1360
3,49210,14524,-812,1148,-1055,3201,-1360
0,51999,14620,-2500,-1360,-935,2885,-1612
1,52564,14964,-2508,-1596,-291,3177,-1194
2,53129,14660,-832,800,-1059,3171,-1440
3,53212,14660,-832,800,-1059,3171,-1440
0,55998,14852,-2592,-1444,-965,2898,-1695
1,56563,15168,-2748,-1712,-353,3197,-1238
2,57128,14884,-832,984,-1061,3214,-1494
3,57210,14884,-832,984,-1061,3214,-1494
0,59999,14944,-2664,-1296,-1047,2874,-1769
1,60564,15120,-2760,-1440,-425,3151,-1331
2,61129,14884,-908,1192,-1130,3155,-1576
3,61211,14884,-908,1192,-1130,3155,-1576
0,64000,15144,-2620,-964,-1081,2882,-1814
1,64565,15208,-2728,-1056,-431,3187,-1361
2,65130,14940,-796,1100,-1230,3125,-1633
3,65212,14940,-796,1100,-1230,3125,-1633
0,68000,15100,-2580,-840,-1149,2857,-1880
1,68565,15148,-2752,-1104,-539,3152,-1437
2,69130,14948,-900,960,-1329,3114,-1698
3,69212,14948,-900,960,-1329,3114,-1698
0,71999,14944,-2584,-664,-1234,2825,-1937
1,72564,14992,-2620,-1124,-607,3109,-1521
2,73129,14912,-824,848,-1383,3061,-1782
3,73212,14912,-824,848,-1383,3061,-1782
0,75998,14988,-2232,-600,-1327,2773,-2005
1,76563,15096,-2404,-696,-674,3140,-1568
2,77128,14964,-868,1032,-1459,3000,-1805
3,77210,14964,-868,1032,-1459,3000,-1805
0,79999,14860,-2200,-636,-1377,2743,-2052
1,80564,15096,-2420,-1032,-759,3088,-1621
