device,micros,ax,ay,az,gx,gy,gz
0,0,-119,1428,1775,-251,-741,259
1,563,2442,1539,2030,-270,-734,158
2,643,2442,1539,2030,-270,-734,158
0,4001,-174,1444,1791,-204,-701,256
1,4564,2405,1572,2241,-224,-690,164
2,4644,2405,1572,2241,-224,-690,164
0,8001,-167,1526,1877,-136,-661,258
1,8564,2395,1618,2413,-150,-662,172
2,8644,2395,1618,2413,-150,-662,172
0,12001,-120,1571,1991,-56,-640,270
1,12564,2410,1668,2514,-72,-649,187
2,12644,2410,1668,2514,-72,-649,187
0,16001,-36,1612,2127,-8,-626,289
1,16564,2442,1687,2481,-29,-637,205
2,16644,2442,1687,2481,-29,-637,205
0,20001,44,1601,2140,15,-622,320
1,20564,2486,1655,2403,-9,-637,236
2,20644,2486,1655,2403,-9,-637,236
0,24001,96,1550,2096,24,-620,353
1,24564,2534,1625,2312,-3,-631,272
2,24644,2534,1625,2312,-3,-631,272
0,28001,123,1464,1987,24,-601,385
1,28564,2563,1536,2142,-2,-623,307
2,28644,2563,1536,2142,-2,-623,307
0,32001,143,1350,1908,16,-579,414
1,32564,2590,1438,1996,-14,-605,338
2,32644,2590,1438,1996,-14,-605,338
0,36001,127,1270,1906,-12,-566,439
1,36564,2599,1369,1917,-45,-594,362
2,36644,2599,1369,1917,-45,-594,362
0,40001,119,1227,1934,-48,-541,461
1,40564,2606,1328,1928,-73,-570,386
2,40644,2606,1328,1928,-73,-570,386
0,44001,130,1244,1949,-70,-517,476
1,44564,2607,1340,1993,-99,-550,410
2,44644,2607,1340,1993,-99,-550,410
0,48001,110,1273,1968,-85,-494,501
1,48564,2587,1358,2044,-114,-534,439
2,48644,2587,1358,2044,-114,-534,439
0,52001,111,1329,1993,-110,-473,523
1,52564,2571,1405,2081,-131,-513,464
2,52644,2571,1405,2081,-131,-513,464
0,56001,59,1369,2008,-138,-460,550
1,56564,2519,1458,2050,-158,-501,489
2,56644,2519,1458,2050,-158,-501,489
0,60001,18,1416,1913,-175,-459,590
1,60564,2422,1488,1887,-203,-508,535
2,60644,2422,1488,1887,-203,-508,535
0,64001,-20,1408,1933,-230,-429,623
1,64564,2440,1487,1831,-261,-467,563
2,64644,2440,1487,1831,-261,-467,563
0,68001,9,1367,1897,-289,-440,642
1,68564,2480,1464,1836,-316,-489,591
2,68644,2480,1464,1836,-316,-489,591
0,72001,-7,1368,1874,-340,-413,662
1,72564,2493,1458,1845,-359,-457,607
2,72644,2493,1458,1845,-359,-457,607
0,76001,-23,1375,1878,-374,-383,671
1,76564,2488,1456,1903,-389,-431,625
2,76644,2488,1456,1903,-389,-431,625
0,80001,-33,1359,1935,-408,-365,685
1,80564,2521,1438,1922,-428,-428,634
2,80644,2521,1438,1922,-428,-428,634
0,84001,-44,1368,1940,-452,-352,689
1,84564,2494,1461,1917,-474,-404,641
2,84644,2494,1461,1917,-474,-404,641
0,88001,-45,1394,2003,-510,-335,696
1,88564,2515,1463,1893,-527,-387,654
2,88644,2515,1463,1893,-527,-387,654
0,92001,-30,1404,1967,-574,-323,704
1,92564,2509,1469,1845,-593,-382,667
2,92644,2509,1469,1845,-593,-382,667
0,96001,-6,1395,1972,-652,-310,718
1,96564,2534,1469,1766,-668,-364,685
2,96644,2534,1469,1766,-668,-364,685
0,100001,10,1362,1969,-743,-295,727
1,100564,2556,1441,1734,-761,-351,693
2,100644,2556,1441,1734,-761,-351,693
0,104001,28,1374,1972,-837,-278,733
1,104564,2574,1426,1732,-853,-334,707
2,104644,2574,1426,1732,-853,-334,707
0,108001,42,1374,1994,-933,-258,743
1,108564,2587,1434,1754,-945,-315,715
2,108644,2587,1434,1754,-945,-315,715
0,112001,48,1365,1984,-1023,-246,746
1,112564,2601,1423,1757,-1032,-302,724
2,112644,2601,1423,1757,-1032,-302,724
