device,micros,ax,ay,az,gx,gy,gz
0,0,-788,-1577,3747,-731,-543,1425
1,562,1727,-1717,3617,-727,-687,1357
2,643,1727,-1717,3617,-727,-687,1357
0,3999,-797,-1602,3755,-708,-548,1431
1,4562,1718,-1733,3606,-702,-693,1363
2,4642,1718,-1733,3606,-702,-693,1363
0,8000,-801,-1618,3744,-680,-549,1434
1,8563,1712,-1756,3597,-679,-693,1366
2,8643,1712,-1756,3597,-679,-693,1366
0,12000,-824,-1648,3720,-654,-557,1441
1,12562,1705,-1783,3603,-651,-699,1368
2,12643,1705,-1783,3603,-651,-699,1368
0,15999,-828,-1677,3711,-627,-550,1443
1,16562,1686,-1797,3579,-625,-703,1376
2,16642,1686,-1797,3579,-625,-703,1376
0,20000,-840,-1708,3678,-595,-555,1443
1,20563,1663,-1832,3570,-598,-705,1378
2,20643,1663,-1832,3570,-598,-705,1378
0,24000,-871,-1729,3670,-564,-555,1455
1,24562,1642,-1860,3571,-563,-703,1379
2,24643,1642,-1860,3571,-563,-703,1379
0,27999,-879,-1780,3632,-531,-555,1453
1,28562,1629,-1891,3521,-527,-708,1380
2,28642,1629,-1891,3521,-527,-708,1380
0,32000,-912,-1811,3613,-495,-550,1456
1,32563,1585,-1930,3507,-491,-700,1385
2,32643,1585,-1930,3507,-491,-700,1385
0,36000,-948,-1846,3609,-456,-555,1460
1,36562,1557,-1953,3480,-456,-707,1383
2,36643,1557,-1953,3480,-456,-707,1383
0,40000,-966,-1888,3584,-421,-547,1460
1,40563,1538,-1987,3456,-417,-702,1386
2,40643,1538,-1987,3456,-417,-702,1386
0,44000,-989,-1920,3565,-386,-552,1459
1,44563,1531,-2021,3444,-389,-700,1388
2,44643,1531,-2021,3444,-389,-700,1388
0,48000,-1014,-1961,3552,-354,-546,1462
1,48563,1502,-2053,3441,-353,-700,1387
2,48643,1502,-2053,3441,-353,-700,1387
0,52000,-1039,-1981,3562,-324,-541,1457
1,52563,1487,-2081,3415,-325,-696,1386
2,52643,1487,-2081,3415,-325,-696,1386
0,56000,-1059,-2015,3544,-293,-538,1458
1,56563,1477,-2103,3402,-294,-692,1385
2,56643,1477,-2103,3402,-294,-692,1385
0,60000,-1071,-2052,3540,-265,-530,1459
1,60563,1462,-2129,3375,-273,-689,1383
2,60643,1462,-2129,3375,-273,-689,1383
0,64000,-1078,-2048,3546,-244,-529,1451
1,64563,1446,-2144,3360,-250,-686,1382
2,64643,1446,-2144,3360,-250,-686,1382
0,68000,-1097,-2071,3542,-223,-520,1450
1,68563,1440,-2171,3330,-230,-680,1379
2,68643,1440,-2171,3330,-230,-680,1379
0,72000,-1089,-2095,3551,-205,-520,1452
1,72563,1421,-2167,3327,-206,-673,1375
2,72643,1421,-2167,3327,-206,-673,1375
0,76000,-1094,-2113,3534,-184,-517,1446
1,76563,1423,-2194,3319,-189,-671,1375
2,76643,1423,-2194,3319,-189,-671,1375
0,80000,-1103,-2112,3507,-158,-508,1443
1,80563,1407,-2200,3312,-168,-663,1372
2,80643,1407,-2200,3312,-168,-663,1372
0,84000,-1112,-2120,3523,-137,-497,1439
1,84563,1415,-2206,3285,-143,-659,1370
2,84643,1415,-2206,3285,-143,-659,1370
0,88000,-1101,-2127,3509,-116,-496,1434
1,88563,1409,-2197,3289,-120,-650,1362
2,88643,1409,-2197,3289,-120,-650,1362
0,92000,-1101,-2114,3500,-89,-490,1434
1,92563,1418,-2199,3299,-98,-644,1363
2,92643,1418,-2199,3299,-98,-644,1363
0,96000,-1116,-2091,3481,-64,-479,1424
1,96563,1422,-2181,3309,-73,-640,1354
2,96643,1422,-2181,3309,-73,-640,1354
0,100000,-1114,-2094,3514,-44,-475,1419
1,100563,1417,-2172,3289,-54,-630,1354
2,100643,1417,-2172,3289,-54,-630,1354
0,104000,-1118,-2082,3525,-25,-465,1419
1,104563,1423,-2159,3289,-36,-625,1347
2,104643,1423,-2159,3289,-36,-625,1347
0,108000,-1113,-2060,3518,-9,-461,1407
1,108563,1421,-2146,3288,-18,-620,1337
2,108643,1421,-2146,3288,-18,-620,1337
0,112000,-1110,-2038,3518,3,-455,1400
1,112563,1431,-2131,3296,-4,-604,1332
2,112643,1431,-2131,3296,-4,-604,1332
0,116000,-1099,-2024,3536,13,-443,1393
1,116563,1431,-2107,3299,2,-599,1326
2,116643,1431,-2107,3299,2,-599,1326
0,120000,-1109,-2000,3557,19,-437,1385
1,120563,1442,-2079,3313,9,-592,1320
2,120643,1442,-2079,3313,9,-592,1320
0,124000,-1094,-1963,3580,23,-427,1375
1,124563,1455,-2052,3304,8,-583,1310
2,124643,1455,-2052,3304,8,-583,1310
0,128000,-1077,-1929,3597,17,-418,1366
1,128563,1479,-2021,3315,10,-568,1303
2,128643,1479,-2021,3315,10,-568,1303
0,132000,-1049,-1885,3622,16,-406,1350
1,132563,1496,-1987,3332,3,-564,1290
2,132643,1496,-1987,3332,3,-564,1290
0,136000,-1034,-1851,3623,9,-400,1344
1,136563,1519,-1947,3314,-4,-550,1287
2,136643,1519,-1947,3314,-4,-550,1287
0,140000,-1012,-1824,3658,-6,-388,1338
1,140563,1533,-1910,3340,-14,-537,1268
2,140643,1533,-1910,3340,-14,-537,1268
0,144000,-994,-1776,3676,-20,-379,1320
1,144563,1563,-1879,3343,-32,-528,1266
2,144643,1563,-1879,3343,-32,-528,1266
0,148000,-987,-1746,3711,-39,-367,1310
1,148563,1587,-1846,3362,-51,-515,1255
2,148643,1587,-1846,3362,-51,-515,1255
0,152000,-967,-1713,3728,-61,-359,1299
1,152563,1582,-1825,3366,-74,-503,1241
2,152643,1582,-1825,3366,-74,-503,1241
0,156000,-954,-1682,3726,-83,-347,1279
1,156563,1616,-1798,3393,-96,-492,1232
2,156643,1616,-1798,3393,-96,-492,1232
0,160000,-942,-1658,3748,-107,-341,1271
1,160563,1642,-1766,3369,-120,-475,1217
2,160643,1642,-1766,3369,-120,-475,1217
0,164000,-941,-1632,3761,-132,-329,1255
1,164563,1636,-1760,3408,-141,-470,1210
2,164643,1636,-1760,3408,-141,-470,1210
0,168000,-965,-1618,3769,-154,-318,1241
1,168563,1652,-1735,3432,-166,-454,1193
2,168643,1652,-1735,3432,-166,-454,1193
0,172000,-946,-1619,3760,-177,-309,1227
1,172563,1643,-1723,3435,-179,-447,1184
2,172643,1643,-1723,3435,-179,-447,1184
0,176000,-937,-1599,3763,-192,-302,1215
1,176563,1651,-1715,3457,-199,-432,1164
2,176643,1651,-1715,3457,-199,-432,1164
0,180000,-935,-1600,3764,-198,-289,1194
1,180563,1658,-1710,3470,-210,-421,1152
2,180643,1658,-1710,3470,-210,-421,1152
0,184000,-928,-1582,3757,-216,-280,1183
1,184563,1660,-1707,3480,-219,-406,1139
2,184643,1660,-1707,3480,-219,-406,1139
0,188000,-942,-1587,3759,-220,-273,1163
1,188563,1650,-1703,3497,-226,-396,1122
2,188643,1650,-1703,3497,-226,-396,1122
0,192000,-922,-1574,3752,-227,-258,1151
1,192563,1659,-1695,3507,-236,-385,1112
2,192643,1659,-1695,3507,-236,-385,1112
0,196000,-927,-1583,3732,-233,-252,1135
1,196563,1656,-1692,3494,-236,-375,1097
2,196643,1656,-1692,3494,-236,-375,1097
0,200000,-916,-1590,3736,-234,-239,1119
1,200563,1655,-1695,3498,-238,-364,1085
2,200643,1655,-1695,3498,-238,-364,1085
0,204000,-906,-1588,3737,-233,-233,1105
1,204563,1670,-1712,3515,-238,-348,1066
2,204643,1670,-1712,3515,-238,-348,1066
0,208000,-914,-1593,3731,-230,-221,1087
1,208563,1667,-1691,3508,-228,-341,1054
2,208643,1667,-1691,3508,-228,-341,1054
0,212000,-932,-1588,3728,-221,-210,1075
1,212563,1662,-1699,3527,-228,-328,1043
2,212643,1662,-1699,3527,-228,-328,1043
0,216000,-946,-1609,3735,-218,-199,1059
1,216563,1649,-1714,3512,-222,-316,1031
2,216643,1649,-1714,3512,-222,-316,1031
0,220000,-953,-1616,3726,-208,-193,1049
1,220563,1640,-1729,3503,-208,-306,1018
2,220643,1640,-1729,3503,-208,-306,1018
0,224000,-957,-1646,3720,-200,-179,1032
1,224563,1618,-1750,3511,-204,-295,1006
2,224643,1618,-1750,3511,-204,-295,1006
0,228000,-950,-1654,3715,-191,-170,1016
1,228563,1628,-1762,3523,-195,-283,993
2,228643,1628,-1762,3523,-195,-283,993
0,232000,-966,-1670,3707,-182,-166,1008
1,232563,1622,-1763,3515,-182,-274,979
2,232643,1622,-1763,3515,-182,-274,979
0,236000,-957,-1667,3692,-166,-154,996
1,236563,1605,-1788,3512,-169,-262,970
2,236643,1605,-1788,3512,-169,-262,970
0,240000,-972,-1707,3665,-150,-141,981
1,240563,1609,-1779,3522,-148,-251,956
