device,micros,ax,ay,az,gx,gy,gz
0,0,805,-676,2454,254,352,598
1,563,3325,-650,2649,258,264,634
2,643,3325,-650,2649,258,264,634
0,4001,789,-645,2455,330,340,611
1,4564,3294,-634,2676,333,245,646
2,4644,3294,-634,2676,333,245,646
0,8001,755,-640,2430,404,323,626
1,8564,3245,-611,2670,410,228,658
2,8644,3245,-611,2670,410,228,658
0,12001,732,-618,2450,480,306,643
1,12564,3222,-582,2661,481,213,666
2,12644,3222,-582,2661,481,213,666
0,16001,720,-596,2451,542,294,655
1,16564,3210,-561,2643,544,193,678
2,16644,3210,-561,2643,544,193,678
0,20001,690,-576,2474,601,284,662
1,20564,3199,-549,2597,590,179,682
2,20644,3199,-549,2597,590,179,682
0,24001,666,-573,2502,638,271,674
1,24564,3191,-541,2545,630,174,691
2,24644,3191,-541,2545,630,174,691
0,28001,667,-568,2494,655,266,677
1,28564,3190,-549,2457,647,164,696
2,28644,3190,-549,2457,647,164,696
0,32001,657,-563,2479,659,265,680
1,32564,3177,-550,2338,645,158,698
2,32644,3177,-550,2338,645,158,698
0,36001,637,-579,2436,642,257,676
1,36564,3175,-561,2208,625,157,692
2,36644,3175,-561,2208,625,157,692
0,40001,620,-588,2407,606,255,673
1,40564,3175,-571,2116,586,156,690
2,40644,3175,-571,2116,586,156,690
0,44001,606,-605,2386,559,259,662
1,44564,3156,-578,2059,537,160,681
2,44644,3156,-578,2059,537,160,681
0,48001,572,-607,2373,496,260,654
1,48564,3151,-575,1981,478,162,673
2,48644,3151,-575,1981,478,162,673
0,52001,574,-602,2374,431,260,642
1,52564,3156,-572,1993,413,164,659
2,52644,3156,-572,1993,413,164,659
0,56001,561,-596,2363,361,267,625
1,56564,3157,-560,1959,346,176,649
2,56644,3157,-560,1959,346,176,649
0,60001,558,-589,2385,288,277,611
1,60564,3160,-548,1938,272,183,640
2,60644,3160,-548,1938,272,183,640
0,64001,594,-616,2274,209,273,607
1,64564,3197,-544,1846,194,183,628
2,64644,3197,-544,1846,194,183,628
0,68001,575,-596,2240,138,267,592
1,68564,3162,-536,1825,126,191,617
2,68644,3162,-536,1825,126,191,617
0,72001,590,-581,2259,73,277,576
1,72564,3183,-524,1891,60,193,605
2,72644,3183,-524,1891,60,193,605
0,76001,598,-605,2298,13,282,563
1,76564,3182,-558,1913,5,200,592
2,76644,3182,-558,1913,5,200,592
0,80000,578,-626,2352,-59,274,550
1,80563,3188,-571,1909,-69,196,572
2,80644,3188,-571,1909,-69,196,572
0,84001,624,-594,2403,-130,267,529
