device,micros,ax,ay,az,gx,gy,gz
0,0,-170,-1642,2027,1292,1655,-545
1,563,2489,-1548,1608,1285,1625,-344
2,644,2489,-1548,1608,1285,1625,-344
0,4000,-141,-1656,2079,1240,1673,-575
1,4563,2516,-1563,1615,1238,1691,-371
2,4643,2516,-1563,1615,1238,1691,-371
0,8000,-104,-1653,2103,1188,1691,-597
1,8563,2542,-1563,1677,1190,1696,-391
2,8643,2542,-1563,1677,1190,1696,-391
0,12000,-61,-1637,2103,1153,1706,-625
1,12563,2568,-1552,1713,1150,1718,-414
2,12643,2568,-1552,1713,1150,1718,-414
0,16000,-28,-1620,2134,1121,1724,-642
1,16563,2572,-1525,1815,1129,1733,-427
2,16643,2572,-1525,1815,1129,1733,-427
0,20000,-1,-1568,2136,1105,1738,-659
1,20563,2600,-1472,1860,1115,1751,-439
2,20643,2600,-1472,1860,1115,1751,-439
0,24000,28,-1525,2177,1097,1746,-668
1,24563,2615,-1436,1909,1106,1767,-451
2,24643,2615,-1436,1909,1106,1767,-451
0,28000,33,-1499,2219,1087,1760,-684
1,28563,2641,-1421,1997,1099,1774,-459
2,28643,2641,-1421,1997,1099,1774,-459
0,32000,49,-1491,2307,1074,1761,-691
1,32563,2637,-1442,2095,1086,1777,-471
2,32643,2637,-1442,2095,1086,1777,-471
0,36000,55,-1497,2382,1072,1765,-699
1,36563,2645,-1424,2151,1078,1796,-476
2,36643,2645,-1424,2151,1078,1796,-476
0,40000,49,-1471,2436,1064,1773,-707
1,40563,2639,-1440,2173,1078,1790,-482
2,40643,2639,-1440,2173,1078,1790,-482
0,44000,46,-1475,2483,1058,1771,-711
1,44563,2626,-1447,2192,1065,1791,-490
2,44644,2626,-1447,2192,1065,1791,-490
0,48000,41,-1456,2527,1038,1771,-724
1,48563,2633,-1435,2199,1045,1802,-501
2,48643,2633,-1435,2199,1045,1802,-501
0,52000,47,-1459,2511,1012,1773,-733
1,52563,2633,-1411,2167,1025,1798,-506
2,52643,2633,-1411,2167,1025,1798,-506
0,56000,72,-1416,2471,995,1779,-736
1,56563,2642,-1368,2155,1004,1802,-512
2,56643,2642,-1368,2155,1004,1802,-512
0,60000,76,-1388,2425,975,1780,-742
1,60563,2624,-1330,2111,989,1805,-513
2,60643,2624,-1330,2111,989,1805,-513
0,64000,81,-1363,2409,951,1787,-744
1,64563,2627,-1303,2085,961,1816,-515
2,64643,2627,-1303,2085,961,1816,-515
0,68000,89,-1295,2360,928,1800,-743
1,68563,2625,-1223,2044,940,1832,-514
2,68643,2625,-1223,2044,940,1832,-514
0,72000,114,-1220,2317,910,1814,-738
1,72563,2637,-1147,2077,924,1842,-504
2,72643,2637,-1147,2077,924,1842,-504
0,76000,140,-1156,2243,900,1834,-734
1,76563,2658,-1093,2012,913,1865,-497
2,76643,2658,-1093,2012,913,1865,-497
0,80000,137,-1159,2380,872,1847,-723
1,80563,2659,-1108,2037,879,1872,-486
2,80644,2659,-1108,2037,879,1872,-486
0,84000,156,-1122,2360,852,1876,-716
1,84563,2637,-1080,2093,866,1904,-477
2,84643,2637,-1080,2093,866,1904,-477
0,88000,152,-1103,2418,823,1888,-710
1,88563,2654,-1062,2145,837,1913,-460
